name,avg_return,avg_volatility,len,interval,period
ESAFSFB,0.0013,0.1415,2486,1m,7d
ESCORTS,0.002,0.0893,2621,1m,7d
ESSARSHPNG,0.0071,0.4764,1880,1m,7d
ESSENTIA,-0.1835,0.8466,42,1m,7d
ESTER,0.0005,0.2701,1354,1m,7d
ETHOSLTD,-0.0019,0.1307,2033,1m,7d
EUROTEXIND,0.0287,2.7288,215,1m,7d
EVEREADY,0.0011,0.1873,1865,1m,7d
EVERESTIND,0.0061,0.2719,1299,1m,7d
EXCEL,-0.0036,4.705,2616,1m,7d
EXCELINDUS,0.0027,0.2,1643,1m,7d
EXICOM,0.0058,0.2136,2611,1m,7d
EXIDEIND,0.0092,0.1556,2622,1m,7d
EXPLEOSOL,0.0012,0.176,1462,1m,7d
EXXARO,0.0063,0.2441,1576,1m,7d
FACT,0.0005,0.151,2570,1m,7d
